"Time","CV_VL_CALC","CV_VL_MAP"
2024-11-28 13:10:00,15.2,14.6
2024-11-28 13:15:00,16.6,20.2
2024-11-28 13:20:00,16.8,20.2
2024-11-28 13:25:00,8.63,8.18
2024-11-28 13:30:00,6.86,7.31
2024-11-28 13:35:00,7.41,8.59
2024-11-28 13:40:00,6.82,7.31
2024-11-28 13:45:00,6.82,7.31
2024-11-28 13:50:00,5.10,5.84
2024-11-28 13:55:00,3.96,4.28
2024-11-28 14:00:00,4.51,5.94
2024-11-28 14:05:00,11.9,14.6
2024-11-28 14:10:00,14.3,14.6
2024-11-28 14:15:00,15.0,14.6
2024-11-28 14:20:00,14.7,14.6
2024-11-28 14:25:00,15.1,15.4
2024-11-28 14:30:00,8.65,8.19
2024-11-28 14:35:00,9.85,11.7
2024-11-28 14:40:00,9.84,11.2
2024-11-28 14:45:00,9.30,11.1
2024-11-28 14:50:00,9.66,11.1
2024-11-28 14:55:00,8.69,8.64
2024-11-28 15:00:00,10.3,11.7
2024-11-28 15:05:00,9.25,9.66
2024-11-28 15:10:00,8.68,9.66
2024-11-28 15:15:00,22.8,27.3
2024-11-28 15:20:00,22.5,27.3
2024-11-28 15:25:00,22.6,27.3
2024-11-28 15:30:00,19.0,19.0
2024-11-28 15:35:00,0,0.390
2024-11-28 15:40:00,16.0,17.9
2024-11-28 15:45:00,29.5,32.9
2024-11-28 15:50:00,0,0
2024-11-28 15:55:00,0,0.471
2024-11-28 16:00:00,3.23,3.52
2024-11-28 16:05:00,5.86,6.14
2024-11-28 16:10:00,6.43,7.14
2024-11-28 16:15:00,9.94,11.6
2024-11-28 16:20:00,13.6,16.2
2024-11-28 16:25:00,17.2,16.9
2024-11-28 16:30:00,19.6,24.0
2024-11-28 16:35:00,19.7,24.0
2024-11-28 16:40:00,22.8,24.0
2024-11-28 16:45:00,22.8,23.9
2024-11-28 16:50:00,23.5,23.9
2024-11-28 16:55:00,25.9,27.2
2024-11-28 17:00:00,27.4,28.1
2024-11-28 17:05:00,27.2,28.1
2024-11-28 17:10:00,29.2,32.7
2024-11-28 17:15:00,29.8,32.8
2024-11-28 17:20:00,34.1,34.8
2024-11-28 17:25:00,34.2,34.8
2024-11-28 17:30:00,36.7,40.8
2024-11-28 17:35:00,36.8,40.7
2024-11-28 17:40:00,40.6,42.0
2024-11-28 17:45:00,40.6,42.0
2024-11-28 17:50:00,41.2,41.9
2024-11-28 17:55:00,41.3,42.0
2024-11-28 18:00:00,41.3,41.9
2024-11-28 18:05:00,42.7,43.2
2024-11-28 18:10:00,43.4,43.2
2024-11-28 18:15:00,42.8,43.2
2024-11-28 18:20:00,42.8,43.2
2024-11-28 18:25:00,44.8,45.8
2024-11-28 18:30:00,44.8,45.8
2024-11-28 18:35:00,45.4,45.7
2024-11-28 18:40:00,45.5,47.0
2024-11-28 18:45:00,46.9,48.2
2024-11-28 18:50:00,46.9,48.2
2024-11-28 18:55:00,47.0,48.2
2024-11-28 19:00:00,47.0,48.2
2024-11-28 19:05:00,48.4,49.5
2024-11-28 19:10:00,48.4,49.5
